/node0/timestamp,/node0/temperature,/node0/humidity
1647371176.011071,21.5,0.54
1647371180.1816049,21.49,0.54
1647371185.3793826,21.51,0.54
1647371190.5848768,21.53,0.54
1647371195.7701592,21.53,0.54
1647371200.9900844,21.54,0.54
1647371205.1413593,21.54,0.54
1647371210.3355107,21.53,0.54
1647371215.5385115,21.56,0.54
1647371220.7435226,21.57,0.54
1647371225.938198,21.56,0.54
1647371231.135917,21.56,0.54
1647371235.315754,21.54,0.54
1647371240.504859,21.51,0.54
1647371245.6931038,21.51,0.54
1647371250.8913286,21.51,0.54
1647371256.0995438,21.56,0.54
1647371260.2613394,21.54,0.54
1647371265.458471,21.54,0.54
1647371270.6686325,21.54,0.54
1647371275.8605251,21.51,0.54
1647371281.0619352,21.5,0.54
1647371285.2249827,21.47,0.54
1647371290.4243314,21.45,0.54
1647371295.626399,21.47,0.54
1647371300.8116808,21.45,0.54
1647371306.020521,21.42,0.54
1647371311.2189174,21.4,0.54
1647371315.3821862,21.39,0.54
1647371320.5740416,21.37,0.54
1647371325.778389,21.37,0.54
1647371330.9762847,21.37,0.54
1647371336.1921978,21.39,0.54
1647371340.343515,21.37,0.54
1647371345.545952,21.37,0.54
1647371350.7553234,21.37,0.54
1647371355.9296565,21.36,0.54
1647371361.1544018,21.39,0.54
1647371366.3358643,21.4,0.54
1647371370.4908218,21.39,0.54
1647371375.6944427,21.36,0.54
1647371380.8985052,21.4,0.54
1647371386.1032648,21.37,0.54
1647371391.3015735,21.37,0.54
1647371395.4597049,21.4,0.54
1647371400.6742702,21.4,0.54
1647371405.8598633,21.42,0.54
1647371411.0619073,21.45,0.54
1647371416.2648327,21.43,0.54
1647371421.4582999,21.43,0.54
1647371425.6259294,21.45,0.54
1647371430.8287861,21.46,0.54
1647371436.0206478,21.4,0.54
1647371441.222018,21.37,0.54
1647371446.42481,21.4,0.54
1647371450.5791771,21.39,0.54
1647371455.788203,21.43,0.54
1647371460.9700162,21.45,0.54
1647371466.186728,21.43,0.54
1647371471.3798814,21.45,0.54
1647371476.5783575,21.42,0.54
1647371480.7455072,21.4,0.54
1647371485.931394,21.4,0.54
1647371491.1385252,21.36,0.54
1647371496.3376098,21.33,0.54
1647371501.542855,21.36,0.54
1647371505.6986566,21.32,0.54
1647371510.8926418,21.33,0.54
1647371516.1056085,21.35,0.54
1647371521.3283687,21.33,0.54
1647371526.5149376,21.3,0.54
1647371531.7071412,21.32,0.54
1647371535.84981,21.32,0.54
1647371541.0544703,21.35,0.54
1647371546.2643156,21.32,0.55
1647371551.456856,21.35,0.55
1647371556.672365,21.35,0.54
1647371560.811076,21.33,0.55
1647371566.033633,21.33,0.54
1647371571.220048,21.33,0.54
1647371576.4207163,21.35,0.54
1647371581.6245248,21.4,0.54
1647371585.7753491,21.4,0.54
1647371590.983807,21.36,0.54
1647371596.1768942,21.36,0.54
1647371601.3786433,21.32,0.54
1647371606.5827506,21.33,0.54
1647371611.7758298,21.33,0.54
1647371615.931309,21.33,0.54
1647371621.1425111,21.35,0.54
1647371626.3301547,21.32,0.54
1647371631.5587375,21.36,0.54
1647371636.7340438,21.33,0.54
1647371640.8940358,21.35,0.54
1647371646.1004617,21.32,0.54
1647371651.2914493,21.3,0.54
1647371656.4930744,21.29,0.54
1647371661.6970842,21.3,0.54
1647371666.898518,21.3,0.54
1647371671.058372,21.32,0.55
1647371676.2685447,21.32,0.54
1647371681.4680083,21.32,0.54
1647371686.676796,21.3,0.54
1647371691.8574529,21.3,0.55
1647371696.021629,21.32,0.54
1647371701.2254796,21.3,0.54
1647371706.4115329,21.29,0.54
1647371711.6102774,21.28,0.54
1647371716.825552,21.3,0.54
1647371720.977828,21.33,0.54
1647371726.1954646,21.35,0.54
1647371731.372854,21.33,0.54
1647371736.5701425,21.33,0.54
1647371741.7806344,21.35,0.54
1647371746.999578,21.35,0.54
1647371751.1409252,21.36,0.54
1647371756.3419993,21.35,0.54
1647371761.5392456,21.33,0.54
1647371766.744368,21.32,0.54
1647371771.944556,21.35,0.54
1647371776.0986269,21.36,0.54
1647371781.2954905,21.36,0.54
1647371786.5136042,21.39,0.54
1647371791.7108479,21.37,0.54
1647371796.8968492,21.37,0.54
1647371802.1089203,21.36,0.54
1647371806.255958,21.36,0.54
1647371811.4610317,21.33,0.54
1647371816.6670673,21.36,0.54
1647371821.8509576,21.32,0.54
1647371827.0567372,21.32,0.54
1647371831.2118547,21.35,0.54
1647371836.4112835,21.36,0.55
1647371841.6218433,21.35,0.55
1647371846.8102956,21.35,0.55
1647371852.0252204,21.36,0.55
1647371857.218431,21.37,0.55
1647371861.3787005,21.35,0.55
1647371866.5795162,21.35,0.55
1647371871.773069,21.36,0.54
1647371876.9776537,21.36,0.54
1647371882.1917512,21.35,0.54
1647371886.3444526,21.35,0.54
1647371891.5576723,21.37,0.54
1647371896.7540667,21.4,0.54
1647371901.940349,21.36,0.54
1647371907.140372,21.4,0.54
1647371912.3434918,21.4,0.54
1647371916.4903622,21.42,0.54
1647371921.69649,21.42,0.54
1647371926.8918707,21.4,0.54
1647371932.1045682,21.42,0.54
1647371937.3011358,21.4,0.54
1647371941.4607375,21.39,0.54
1647371946.667189,21.37,0.54
1647371951.8742714,21.36,0.54
1647371957.060438,21.37,0.54
1647371962.259438,21.37,0.54
1647371966.4214072,21.36,0.54
1647371971.6158242,21.4,0.54
1647371976.8200462,21.39,0.54
1647371982.0181475,21.43,0.54
1647371987.2246687,21.42,0.54
1647371992.4217334,21.42,0.54
1647371996.5830102,21.43,0.54
1647372001.78695,21.4,0.54
1647372006.9970708,21.42,0.54
1647372012.185962,21.4,0.54
1647372017.3855982,21.4,0.54
1647372021.5463176,21.4,0.54
1647372026.752828,21.42,0.54
1647372031.9429348,21.43,0.54
1647372037.1305058,21.39,0.54
1647372042.3306568,21.4,0.54
1647372047.5356975,21.42,0.54
1647372051.698172,21.43,0.54
1647372056.9023623,21.4,0.54
1647372062.1119576,21.39,0.54
1647372067.3006387,21.37,0.54
1647372072.4997454,21.36,0.54
1647372076.6768665,21.37,0.54
1647372081.8625185,21.36,0.54
1647372087.0697017,21.39,0.54
1647372092.2576087,21.39,0.54
1647372097.465417,21.4,0.54
1647372102.6664395,21.37,0.54
1647372106.8301673,21.35,0.54
1647372112.0261786,21.33,0.54
1647372117.2381597,21.37,0.54
1647372122.421908,21.36,0.54
1647372127.6213937,21.37,0.54
1647372131.7754595,21.35,0.54
1647372136.9734116,21.32,0.54
1647372142.1835046,21.35,0.54
1647372147.387662,21.35,0.54
1647372152.579292,21.33,0.55
1647372157.775753,21.35,0.55
