1647759601.5429835,19.81,0.4
1647759606.7631164,19.81,0.4
1647759611.954482,19.81,0.4
1647759617.153593,19.8,0.4
1647759622.3434088,19.78,0.4
1647759626.515399,19.81,0.4
1647759631.7207747,19.8,0.4
1647759636.905223,19.82,0.4
1647759642.1029468,19.81,0.4
1647759647.3072453,19.8,0.4
1647759651.468025,19.8,0.4
1647759656.6640036,19.81,0.4
1647759661.874373,19.8,0.4
1647759667.072413,19.8,0.4
1647759672.2696455,19.78,0.4
1647759677.4698298,19.8,0.4
1647759681.627822,19.8,0.4
1647759686.8249907,19.8,0.4
1647759692.033174,19.8,0.4
1647759697.2246754,19.8,0.4
1647759702.4271488,19.78,0.4
1647759706.58439,19.8,0.4
1647759711.7929053,19.8,0.4
1647759716.9891536,19.8,0.4
1647759722.1998618,19.8,0.4
1647759727.3837466,19.77,0.4
1647759731.549353,19.81,0.4
1647759736.7541533,19.78,0.4
1647759741.9546885,19.77,0.4
1647759747.142743,19.77,0.4
1647759752.34378,19.8,0.4
1647759757.562295,19.82,0.4
1647759761.712377,19.8,0.4
1647759766.9110591,19.8,0.4
1647759772.104165,19.8,0.4
1647759777.3169918,19.81,0.4
1647759782.513506,19.78,0.4
1647759786.666829,19.8,0.4
1647759791.8661366,19.81,0.4
1647759797.0700867,19.78,0.4
1647759802.2742825,19.81,0.4
1647759807.47128,19.81,0.4
1647759812.669569,19.8,0.4
1647759816.8313262,19.78,0.4
1647759822.026574,19.82,0.4
1647759827.2295847,19.77,0.4
1647759832.4238813,19.81,0.4
1647759837.6230876,19.8,0.4
1647759841.7849495,19.78,0.4
1647759846.996834,19.77,0.4
1647759852.1916642,19.78,0.4
1647759857.3901417,19.78,0.4
1647759862.5912678,19.8,0.4
1647759867.7921755,19.81,0.4
1647759871.9442964,19.8,0.4
1647759877.1439815,19.81,0.4
1647759882.35256,19.81,0.4
1647759887.551413,19.8,0.4
1647759892.7450757,19.81,0.4
1647759896.909751,19.8,0.4
1647759902.104138,19.84,0.4
1647759907.3157394,19.81,0.4
1647759912.5228927,19.78,0.4
1647759917.7054248,19.81,0.4
1647759922.9038503,19.82,0.39
1647759927.0706153,19.8,0.4
1647759932.275182,19.81,0.39
1647759937.471905,19.8,0.4
1647759942.671993,19.8,0.39
1647759947.8730729,19.78,0.39
1647759952.036764,19.81,0.4
1647759957.2226443,19.81,0.39
1647759962.429466,19.8,0.39
1647759967.6355305,19.8,0.39
1647759972.8359115,19.78,0.39
1647759978.0266023,19.81,0.4
1647759982.1881897,19.81,0.39
1647759987.3962398,19.81,0.39
1647759992.5844383,19.81,0.39
1647759997.785373,19.82,0.39
1647760002.997306,19.82,0.39
1647760007.1562934,19.82,0.39
1647760012.3482182,19.84,0.39
1647760017.5623934,19.82,0.39
1647760022.7562428,19.8,0.39
